100,10.0
200,7.0
300,18.0
400,18.0
500,18.0
600,12.0
700,17.0
800,14.0
900,22.0
1000,22.0
1100,15.0
1200,14.0
1300,20.0
1400,28.0
1500,16.0
1600,28.0
1700,19.0
1800,25.0
1900,36.0
2000,29.0
2100,24.0
2200,35.0
2300,43.0
2400,40.0
2500,50.0
2600,46.0
2700,43.0
2800,38.0
2900,45.0
3000,49.0
3100,41.0
3200,38.0
3300,47.0
3400,43.0
3500,45.0
3600,40.0
3700,43.0
3800,41.0
3900,63.0
4000,36.0
4100,45.0
4200,45.0
4300,49.0
4400,58.0
4500,50.0
4600,49.0
4700,58.0
4800,71.0
4900,66.0
5000,72.0
5100,68.0
5200,68.0
5300,76.0
5400,69.0
5500,79.0
5600,70.0
5700,80.0
5800,73.0
5900,69.0
6000,80.0
6100,69.0
6200,78.0
6300,79.0
6400,71.0
6500,66.0
6600,73.0
6700,82.0
6800,77.0
6900,79.0
7000,80.0
7100,75.0
7200,82.0
7300,75.0
7400,76.0
7500,80.0
7600,78.0
7700,78.0
7800,71.0
7900,84.0
8000,82.0
8100,83.0
8200,90.0
8353,89.0
8453,85.0
