100,4.0
200,2.0
300,7.0
400,6.0
500,7.0
600,3.0
700,4.0
800,4.0
900,7.0
1000,3.0
1100,6.0
1200,7.0
1300,9.0
1400,7.0
1500,9.0
1600,10.0
1700,11.0
1800,4.0
1900,6.0
2000,8.0
2100,10.0
2200,10.0
2300,10.0
2400,13.0
2500,12.0
2600,15.0
2700,6.0
2800,8.0
2900,6.0
3000,12.0
3100,8.0
3200,1.0
3300,7.0
3400,7.0
3500,10.0
3600,4.0
3700,7.0
3800,7.0
3900,6.0
4000,10.0
4100,12.0
4200,10.0
4300,14.0
4400,13.0
4500,7.0
4600,9.0
4700,14.0
4800,9.0
4900,13.0
5000,10.0
5100,16.0
5200,14.0
5300,14.0
5400,14.0
5500,13.0
5600,13.0
5700,20.0
5800,16.0
5900,20.0
6000,22.0
6100,9.0
6200,12.0
6300,22.0
6400,22.0
6500,12.0
6600,13.0
6700,16.0
6800,8.0
6900,13.0
7000,14.0
7100,12.0
7200,9.0
7300,18.0
7400,30.0
7500,28.0
7600,34.0
7700,27.0
7800,28.0
7900,30.0
8000,21.0
8100,14.0
8200,12.0
8300,15.0
8400,24.0
8500,23.0
8600,30.0
8700,21.0
8800,23.0
8900,28.0
9000,29.0
9100,31.0
9200,24.0
9300,26.0
9400,28.0
9500,27.0
9600,19.0
9700,17.0
9800,21.0
9900,20.0
10000,14.0
10100,15.0
10200,18.0
10300,20.0
10400,15.0
10500,17.0
10600,14.0
10700,22.0
10800,21.0
10900,15.0
11000,14.0
11100,12.0
11200,14.0
11300,18.0
11400,19.0
11500,26.0
11600,31.0
11700,17.0
11800,20.0
11900,16.0
12000,18.0
12100,16.0
12200,12.0
12300,18.0
12400,15.0
12500,10.0
12600,10.0
12700,17.0
12800,16.0
12900,19.0
13000,15.0
13100,11.0
13200,17.0
13300,11.0
13400,22.0
13500,20.0
13600,21.0
13700,19.0
13800,22.0
13900,29.0
14000,26.0
14100,28.0
14200,18.0
14300,20.0
14400,16.0
14500,15.0
14600,16.0
14700,23.0
14800,32.0
14900,89.0
15000,100.0
15100,100.0
15200,100.0
15300,100.0
15400,100.0
15500,100.0
15600,100.0
15700,100.0
15800,100.0
15900,100.0
16000,100.0
16100,100.0
16200,100.0
16300,100.0
16400,100.0
16500,100.0
16600,100.0
16700,100.0
16800,100.0
16900,100.0
17000,100.0
17100,100.0
17200,100.0
